Site,Photo1,Photo2,State,Latitude,Longitude,Elevation,Photo3
PalmatierLake,,,MI,42.5732,-85.4378,279,
SpringLakeEast,,,WI,43.9696,-87.8943,277,
LakeNopawan,,,WI,44.14481,-89.15486,262,
SpringLake,,,WI,43.68577,-89.16415,236,
PatrickLake,,,WI,43.88422,89.65495,300,
MissionLake,,,WI,44.7796,-89.35411,370,
CodyLake,,,MN,44.46054,-93.50258,317,
SpurzemLake,,,MN,45.03837,-93.62132,293,
LuraLake,,,MN,43.87211,-94.01022,316,
MollieLake,,,MN,46.48087,-94.20497,369,
SpectacleLake,,,MN,45.57476,-93.40361,282,
RockLake,,,MN,46.63772,-93.39483,373,
PickerelLake,,,MN,46.40489,-92.43228,353,
MudLake,,,WI,45.30358,-92.46969,319,
DiamondLake,,,WI,45.10697,-90.68133,399,
GreenLake,,,WI,45.95228,-91.33546,409,
LoonLake,,,WI,46.34953,-90.64301,375,
ClearwaterLake,,,MI,46.26175,-89.41073,514,
LakeSaintKathryn,,,MI,46.39257,-88.72522,505,
MargaretLake,,,WI,45.71446,-89.1137,509,
WiscobeeLake,,,WI,45.01915,-88.45792,249,
OrganLake,,,MS,33.95411,-89.78944,116,
LakeLoakfoama,,,MS,33.26422,-88.78011,58,
TomBaileyLake,,,MS,32.42115,-88.52621,45,
LakeBogueHoma,,,MS,31.71156,-89.02361,64,
LincolnLake,,,MS,31.67721,-90.33382,101,
HolmesSP,,,MS,33.02708,-89.92485,89,
HorseshoeLake,,,MS,33.07494,-90.96224,41,
LakeBillWaller,,,MS,31.19356,-89.72151,48,
CorneyLake,,,LA,32.90878,-92.74528,41,
StuartLake,,,LA,31.5108,-92.44429,58,
ChathamLake,,,LA,32.31089,-92.44672,80,
RickEvansWMA,,,AR,33.81181,-93.76647,120,
MonticelloLake,,,AR,33.71227,-91.84786,71,
WhiteOakLake,,,AR,33.68925,-93.11021,84,
BlackBayouLake,,,LA,32.60377,92.04908,15,
LakeChicotSP,,,LA,30.79224,92.26862,7,
MerrisachLake,,,AR,34.03551,91.26691,73,
BobbKiddLake,BobbKiddLake_AR_07142016_Site_1.jpg,,AR,35.9722,-94.3581,354,
BoonevilleLake,BoonevilleLake_AR_07252016_Site_1.jpg,BoonevilleLake_AR_07252016_Site_3.jpg,AR,35.1504,-94.0594,163,BoonevilleLake_AR_07252016_Site_4.jpg
CharlestonLake,CharlestonLake_AR_07212016_Site_1.jpg,CharlestonLake_AR_07212016_Site_2.jpg,AR,35.2843,-94.0496,147,
CoveLake,CoveLake_AR_08112016_Site_1.jpg,CoveLake_AR_08112016_Site_2.jpg,AR,35.2325,-93.6286,304,CoveLake_AR_08112016_Site_4.jpg
CrystalLake,CrystalLake_AR_08012016_Site_1.jpg,CrystalLake_AR_08012016_Site_3.jpg,AR,36.3436,-94.4432,352,CrystalLake_AR_08012016_Site_2.jpg
DarbyLake,DarbyLake_AR_08042016_Site_4.jpg,DarbyLake_AR_08042016_Site_1.jpg,AR,35.2637,-94.0284,153,DarbyLake_AR_08042016_Site_3.jpg
EngineerLake,EngineerLake_AR_08042016_Site_1.jpg,EngineerLake_AR_08042016_Site_2.jpg,AR,35.2788,-94.118,133,EngineerLake_AR_08042016_Site_3.jpg
GreenwoodLake,GreenwoodLake_AR_07252016_Site_1.jpg,GreenwoodLake_AR_07252016_Site_2.jpg,AR,35.1867,-94.2421,161,
HorseheadLake,HorseheadLake_AR_07192016_Site_1.jpg,HorseheadLake_AR_07192016_Site_2.jpg,AR,35.567,-93.6382,206,
LakeFayetteville,LakeFayetteville_AR_08082016_Site_1.jpg,LakeFayetteville_AR_08082016_Site_2.jpg,AR,36.133,-94.1394,375,
LakeLeatherwood,LakeLeatherwood_AR_08082016_Site_1.jpg,LakeLeatherwood_AR_08082016_Site_2.jpg,AR,36.4353,-93.7589,309,
LakeLincoln,LakeLincoln_AR_07142016_Site_1.jpg,,AR,35.9998,-94.4263,354,
LakePrairieGrove,PrairieGroveLake_AR_08102016_Site_2.jpg,PrairieGroveLake_AR_08102016_Site_3.jpg,AR,35.937,-94.3383,365,PrairieGroveLake_AR_08102016_Site_1.jpg
LakeSequoyah,LakeSequoyah_AR_08152016_Site_3.jpg,LakeSequoyah_AR_08152016_Site_2.jpg,AR,36.0629,-94.0696,365,LakeSequoyah_AR_08152016_Site_4.jpg
LakeWedington,LakeWedington_AR_08032016_Site_1.jpg,LakeWedington_AR_08032016_Site_3.jpg,AR,36.0937,-94.3707,340,LakeWedington_AR_08032016_Site_4.jpg
LakeWilson,LakeWilson_AR_07112016_Site_1.jpg,LakeWilson_AR_07112016_Site_2.jpg,AR,35.9994,-94.1364,393,LakeWilson_AR_07112016_Site_3.jpg
LockAndDamPond,LockandDamPond_07212016_Site_1.jpg,LockandDamPond_07212016_Site_3.jpg,AR,35.3461,-94.2992,125,LockandDamPond_07212016_Site_2.jpg
OzarkCityLake,OzarkCityLake_AR_07192016_Site_1.jpg,OzarkCityLake_AR_07192016_Site_4.jpg,AR,35.5323,-93.8453,185,OzarkCityLake_AR_07192016_Site_3.jpg
ParisReservoir,ParisReservoir_AR_08112016_Site_1.jpg,ParisReservoir_AR_08112016_Site_2.jpg,AR,35.2717,-93.7265,139,ParisReservoir_AR_08112016_Site_3.jpg
SiloamSpringsLake,SiloamSpringsLake_AR_08012016_Site_1.jpg,SiloamSpringsLake_AR_08012016_Site_3.jpg,AR,36.2229,-94.5393,317,SiloamSpringsLake_AR_08012016_Site_4.jpg
IvanLake,,,LA,32.83152,93.49796,64,
GrandLake,,,LA,31.11924,92.02316,8,
SabineWMA,,,LA,31.54557,93.56809,62,
